"ACC_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE","DOB","GENDER","INCOME","INCOME_TYPE","CC_STATUS","CAR","REALTY","FAMILY_STATUS","FAM_MEMBERS","CHILDREN","HOUSING_TYPE","EDUCATION_TYPE","OCCUPATION_TYPE","DATE_EMPLOYED","CITY"
"5010004","Morgan","Harnwell","mharnwell4l@nifty.com","266-603-8640","1987-06-27","Female","157500","State servant","Declined","N","Y","Married","4","2","House / apartment","Secondary / secondary special","Core staff","2015-05-26","Santa Rosa del Sara"
"5010208","Kenna","Buxy","kbuxybr@yolasite.com","904-112-8927","1983-04-27","Male","135000","Commercial associate","Not Applied","N","Y","Married","2","0","House / apartment","Higher education","Core staff","2010-01-23","Porto Salvo"
"5021594","Susi","Sokill","ssokillb8@vistaprint.com","269-807-9653","1968-06-07","Female","306000","Commercial associate","Declined","Y","Y","Married","3","1","House / apartment","Secondary / secondary special","Managers","2017-06-02","Laborde"
"5021968","Cary","Rosiello","crosiello8c@about.me","562-640-7702","1988-11-30","Female","103500","Working","Declined","N","N","Married","3","1","House / apartment","Secondary / secondary special","Sales staff","2017-09-28","Wanzu"
"5022814","Waldemar","Goldsby","wgoldsbycy@nifty.com","532-235-8293","1997-10-17","Male","261000","Commercial associate","Declined","N","Y","Single / not married","1","0","House / apartment","Secondary / secondary special","Laborers","2018-05-30","Muliang"
"5029441","Humfrey","Scotchmore","hscotchmorec8@github.io","674-830-1394","1973-05-11","Female","225000","Working","Declined","Y","Y","Married","2","0","House / apartment","Higher education","Core staff","2012-05-15","Vetluzhskiy"
"5029536","Georgena","Silwood","gsilwood3p@freewebs.com","669-623-1722","1986-01-02","Male","112500","Working","Pending Approval","N","Y","Civil marriage","2","0","House / apartment","Higher education","Core staff","2017-09-14","Ramiriquí"
"5033766","Aleece","Clilverd","aclilverd29@japanpost.jp","486-541-3639","1989-02-02","Female","76500","Working","Pending Approval","N","Y","Married","4","2","House / apartment","Secondary / secondary special","Cleaning staff","2016-07-14","Guazhou"
"5041171","Cirillo","Vizard","cvizard7g@cyberchimps.com","555-276-4100","1987-11-18","Female","108000","Commercial associate","Declined","N","Y","Civil marriage","2","0","House / apartment","Secondary / secondary special","Sales staff","2014-11-28","Baiqiao"
"5046111","Cindra","Wibrew","cwibrew47@linkedin.com","477-195-3293","1986-06-18","Female","126000","Working","Not Applied","N","N","Single / not married","1","0","House / apartment","Higher education","Core staff","2015-10-16","Mombetsu"
"5052883","Wini","Tuhy","wtuhy8r@salon.com","114-399-3084","1971-12-15","Female","225000","Working","Declined","Y","Y","Married","2","0","House / apartment","Secondary / secondary special","Drivers","2011-10-15","Moyale"
"5054349","Evangelina","Fairbairn","efairbairndp@acquirethisname.com","897-719-9951","1985-10-07","Male","157500","Working","Declined","N","N","Single / not married","1","0","House / apartment","Higher education","Sales staff","2019-08-05","Asamboka"
"5056086","Kirbie","Stileman","kstilemanx@paypal.com","958-755-0664","1977-03-13","Male","180000","State servant","Approved","N","Y","Married","5","3","House / apartment","Higher education","Core staff","2000-09-27","Luchingu"
"5056161","Jerry","Moses","jmoses3c@vistaprint.com","486-286-6586","1971-07-16","Female","216000","Working","Approved","N","Y","Married","2","0","House / apartment","Secondary / secondary special","High skill tech staff","2003-02-28","Liangshan"
"5062173","Nicole","Byrth","nbyrth3l@shop-pro.jp","370-859-5072","1978-12-11","Female","135000","Commercial associate","Approved","N","Y","Married","4","2","House / apartment","Secondary / secondary special","Sales staff","2018-07-19","Ladário"
"5066484","Pinchas","Denial","pdenialo@cisco.com","963-235-0043","1983-12-02","Male","166500","Working","Declined","Y","Y","Married","3","1","House / apartment","Secondary / secondary special","Medicine staff","2010-06-28","Umeå"
"5068133","Devlin","Kenryd","dkenrydah@shutterfly.com","938-362-7548","1970-07-09","Male","180000","Working","Approved","N","Y","Married","2","0","House / apartment","Secondary / secondary special","Laborers","2013-06-14","Kronoby"
"5068648","Inglebert","Filpo","ifilpo8s@ucoz.ru","137-744-4347","1989-12-11","Female","135000","Working","Approved","N","Y","Single / not married","1","0","With parents","Secondary / secondary special","Drivers","2018-02-12","San Rafael"
"5068666","Marney","Pope","mpopeax@imgur.com","718-663-6045","1968-02-24","Female","360000","State servant","Declined","Y","Y","Separated","1","0","House / apartment","Higher education","Core staff","2015-10-15","Rendui"
"5089563","Hilda","Titherington","htitherington6p@hatena.ne.jp","516-678-7133","1989-10-10","Female","157500","Working","Pending Approval","Y","N","Single / not married","1","0","House / apartment","Incomplete higher","Managers","2012-07-29","Abaetetuba"
"5091237","Thaddeus","Domb","tdombj@alexa.com","472-770-8606","1990-03-20","Male","225000","Working","Pending Approval","Y","Y","Single / not married","1","0","House / apartment","Secondary / secondary special","Laborers","2012-01-16","Ciseureuheun"
"5091347","Brod","Mammatt","bmammatt7e@wikimedia.org","554-746-0660","1990-08-24","Male","135000","Commercial associate","Approved","N","Y","Married","2","0","House / apartment","Secondary / secondary special","Cooking staff","2017-01-15","Masaraway"
"5092199","Morley","Dellit","mdellit35@sfgate.com","930-917-9205","1963-06-19","Male","292500","Working","Not Applied","N","Y","Married","2","0","House / apartment","Secondary / secondary special","Medicine staff","1982-08-16","Kuçovë"
"5115908","Nye","Yaneev","nyaneev9e@blogs.com","746-634-1095","1980-11-30","Female","157500","Commercial associate","Approved","N","Y","Civil marriage","3","1","House / apartment","Secondary / secondary special","Cooking staff","2020-01-22","Thị Trấn Mường Khến"
"5136883","Pia","Seif","pseifcc@tamu.edu","547-346-4920","1980-05-10","Female","315000","Commercial associate","Pending Approval","N","N","Married","2","0","House / apartment","Higher education","Accountants","2018-03-16","Weetobula"
"5139683","Dacy","Cosson","dcosson9o@yandex.ru","826-825-5058","1982-08-15","Male","166500","Commercial associate","Not Applied","Y","N","Civil marriage","3","1","House / apartment","Secondary / secondary special","Sales staff","2010-04-27","Rolândia"
